sampMatCode.base.building.DESC,organic,mean,sum,count
Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,1,0.001451378809869376,1,689
Chamomile,0,0.0013315579227696406,4,3004
Chamomile,1,0.0,0,1088
Chamomile and similar-,0,0.012326656394453005,8,649
Champagne-like wine,0,0.0,0,360
Champagne-like wine,1,0.0,0,257
Chanterelles,0,0.0007990411506192569,12,15018
Chanterelles,1,0.0,0,472
Chards,0,0.0006594441827602449,14,21230
Chards,1,0.0,0,1221
Chards and similar-,0,0.0003448275862068965,1,2900
Chards and similar-,1,0.0,0,510
Chayote fruits,0,0.0,0,1725
Cheese,0,0.0,0,3772
Cheese,1,0.0,0,414
Cheese curd,0,0.0,0,40
"Cheese, appenzeller",0,0.0,0,156
"Cheese, asiago",0,0.0,0,55
"Cheese, boilie",1,0.0,0,176
"Cheese, butterkase",1,0.0,0,38
"Cheese, emmental",0,0.0,0,228
"Cheese, emmental",1,0.0,0,176
"Cheese, feta",0,0.0,0,509
"Cheese, feta",1,0.0,0,144
"Cheese, fontina",1,0.0,0,176
"Cheese, grana padano",0,0.0,0,156
"Cheese, gruyere",0,0.0,0,156
"Cheese, parmigiano reggiano",0,0.0,0,78
"Cheese, provolone",0,0.0,0,241
"Cheese, ricotta salata",0,0.0,0,79
"Cheese, roquefort",0,0.0,0,18
"Cheese, saga",1,0.0,0,176
"Cheese, scamorza",0,0.0,0,441
"Cheese, taleggio",0,0.0,0,55
"Cheese, toma piemontese",0,0.0,0,182
Cherimoyas,0,0.001896505012191818,7,3691
Cherries (sweet),0,0.00019873998847308067,40,201268
Cherries (sweet),1,0.0,0,1094
Cherries and similar-,0,9.212910358382213e-05,3,32563
Cherries and similar-,1,0.0,0,511
Cherry tomatoes,0,0.0005617526683251745,7,12461
Cherry tomatoes,1,0.0,0,1871
Chervil,0,0.0011857707509881424,3,2530
Chestnut puree (castanea vulgaris),1,0.0,0,308
Chestnuts,0,0.0,0,9812
Chestnuts,1,0.0,0,315
Chia seeds,0,0.00015382248884786957,1,6501
Chia seeds,1,0.0,0,8758
"Chicken fat, processed",0,0.0,0,850
Chicken fresh meat,0,0.00015912164850027846,4,25138
Chicken fresh meat,1,0.0,0,200
Chicken liver,0,0.0013778322106552357,36,26128
"Chicken, fresh fat tissue",0,5.628887450395429e-05,2,35531
"Chicken, fresh fat tissue",1,0.0,0,179
Chickling vetches (dry),0,0.0,0,84
Chickpea flour,0,0.0,0,948
Chickpea flour,1,0.0,0,2642
Chickpeas (dry),0,0.00017208742040956807,4,23244
Chickpeas (dry),1,0.0,0,5645
Chickpeas (with pods),0,0.0004379242391066346,4,9134
Chickpeas (with pods),1,0.0,0,2832
Chickpeas (without pods),0,0.0,0,317
Chili peppers,0,0.0017264634475316967,128,74140
Chili peppers,1,0.0,0,1320
