product,organic,avg_combined_mrl_ratio,median_combined_mrl_ratio,p90_combined_mrl_ratio,p95_combined_mrl_ratio,avg_substances_found,median_substances_found,p90_substances_found,p95_substances_found,samples
Chamomile,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Chamomile and similar-,0,4.7685200000000005,2.50055,11.19323,13.537639999999998,2.8,2.0,5.4,6.199999999999999,5
Champagne-like wine,0,0.004166666666666667,0.004166666666666667,0.0075,0.007916666666666666,0.5,0.5,0.9,0.95,2
Champagne-like wine,1,0.089,0.089,0.089,0.089,3.0,3.0,3.0,3.0,1
Chanterelles,0,63.6298306010929,0.0,277.39,278.19,72.88524590163935,0.0,322.0,323.0,61
Chanterelles,1,0.04,0.04,0.04,0.04,1.0,1.0,1.0,1.0,1
Chards,0,1.3453604561101549,0.0,2.031199999999999,3.4340799999999945,0.9156626506024096,0.0,3.0,3.0,83
Chards,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Chards and similar-,0,0.1969688888888889,0.002,0.3624533333333332,1.0424166666666648,1.4666666666666666,1.0,3.5999999999999996,4.0,15
Chards and similar-,1,0.12575,0.12575,0.22635,0.238925,1.0,1.0,1.8,1.9,2
Chayote fruits,0,0.12285333333333334,0.032266666666666666,0.3424000000000001,0.44519999999999993,1.4,1.0,3.2,3.5999999999999996,5
Cheese,0,0.010606060606060605,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,33
Cheese,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Cheese curd,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"Cheese, appenzeller",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Cheese, asiago",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, boilie",1,0.26,0.26,0.26,0.26,2.0,2.0,2.0,2.0,1
"Cheese, butterkase",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, emmental",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"Cheese, emmental",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, feta",0,0.11637272727272728,0.0738,0.2576,0.3208,1.8181818181818181,2.0,3.0,3.0,11
"Cheese, feta",1,0.08555,0.075725,0.110205,0.11451499999999999,2.3333333333333335,2.0,2.8,2.9,3
"Cheese, fontina",1,0.04,0.04,0.04,0.04,1.0,1.0,1.0,1.0,1
"Cheese, grana padano",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Cheese, gruyere",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Cheese, parmigiano reggiano",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, provolone",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Cheese, ricotta salata",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Cheese, roquefort",0,0.02947222222222222,0.0,0.10700000000000001,0.121,0.3333333333333333,0.0,1.0,1.0,9
"Cheese, saga",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, scamorza",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"Cheese, taleggio",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Cheese, toma piemontese",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cherimoyas,0,2.7818181818181817,0.0,2.0,14.65,0.6363636363636364,0.0,1.0,3.0,11
Cherries (sweet),0,5.031740620858983,0.12,0.8556333333333345,1.8351333333333333,9.276374442793463,3.0,6.0,8.0,673
Cherries (sweet),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cherries and similar-,0,0.20107129301355578,0.05766666666666667,0.4418600000000001,0.7549333333333329,2.510948905109489,3.0,5.0,6.0,137
Cherries and similar-,1,0.225,0.225,0.405,0.4275,0.5,0.5,0.9,0.95,2
Cherry tomatoes,0,16.555527063492065,0.09,3.817785714285719,185.22044444444444,25.66,1.0,8.0,271.0,50
Cherry tomatoes,1,0.23687962962962963,0.0,0.7106388888888889,1.0499027777777779,1.1666666666666667,0.0,3.5,4.25,6
Chervil,0,12.66616880952381,0.9687409523809524,37.02119404761905,54.977332738095235,4.833333333333333,3.5,10.5,12.25,6
Chestnut puree (castanea vulgaris),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chestnuts,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Chestnuts,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chia seeds,0,0.3140993788819876,0.0,0.66,1.247999999999999,0.4782608695652174,0.0,1.8000000000000007,2.0,23
Chia seeds,1,0.030454545454545456,0.0,0.018000000000000044,0.09599999999999995,0.13636363636363635,0.0,0.9000000000000021,1.0,22
"Chicken fat, processed",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Chicken fresh meat,0,1.0047399681401832,0.0,0.0,0.0,1.2479091995221028,0.0,0.0,0.0,1674
Chicken fresh meat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
Chicken liver,0,12.397962027914614,0.0,0.14766666666666614,150.68766666666667,16.55665024630542,0.0,1.0,206.0,812
"Chicken, fresh fat tissue",0,2.397465952711051,0.0,0.0,0.08,3.392156862745098,0.0,0.0,1.0,918
"Chicken, fresh fat tissue",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Chickling vetches (dry),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chickpea flour,0,0.19666666666666666,0.19666666666666666,0.354,0.37366666666666665,0.5,0.5,0.9,0.95,2
Chickpea flour,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Chickpeas (dry),0,0.20817136752136753,0.0,0.35171999999999937,0.8852999999999984,0.48717948717948717,0.0,2.0,3.0,78
Chickpeas (dry),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Chickpeas (with pods),0,2.172031746031746,0.0,4.8,6.05,0.42857142857142855,0.0,1.0,2.0,21
Chickpeas (with pods),1,0.09499999999999999,0.0,0.285,0.4275,0.16666666666666666,0.0,0.5,0.75,6
Chickpeas (without pods),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chili peppers,0,8.728437732771791,0.1322222222222222,22.383906349206356,55.3641761904761,7.9227053140096615,2.0,14.400000000000006,21.399999999999977,207
Chili peppers,1,0.1660714285714286,0.0,0.4650000000000002,0.564642857142857,0.75,0.0,2.1000000000000005,2.549999999999999,4
Chinese cabbages,0,0.3090307483903869,0.00095,0.6770476190476199,1.6153042857142856,0.8152610441767069,1.0,2.0,3.0,249
Chinese cabbages,1,0.044000000000000004,0.032,0.0864,0.0932,0.6666666666666666,1.0,1.0,1.0,3
Chinese cabbages and similar-,0,0.004147642390289449,0.0,0.015580952380952383,0.018412698412698412,0.5882352941176471,0.0,1.4000000000000004,2.0,17
Chinese chives sprouts,0,55.05935,55.05935,55.05935,55.05935,9.0,9.0,9.0,9.0,1
Chinese jujubes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chinese persimmons,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Chinese wolfberries,0,0.34549659863945575,0.341,0.7028666666666668,0.7557666666666666,3.4285714285714284,5.0,6.4,6.699999999999999,7
Chinese wolfberries,1,0.01,0.0,0.024,0.026999999999999996,0.6666666666666666,0.0,1.6,1.7999999999999998,3
Chinottos,0,0.02586206896551724,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,406
Chironjas,0,0.09578508771929824,0.0,0.3718690476190475,0.5568964285714275,0.5789473684210527,0.0,3.1999999999999993,4.0,19
Chironjas,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Chives,0,1.6599526805276101,0.016142857142857143,0.8914657142857143,1.6541964285714283,2.323943661971831,2.0,5.0,7.0,71
Chives,1,0.07075714285714285,0.0058,0.19192000000000004,0.2316742857142856,0.75,1.0,1.0,1.0,4
Chives and similar-,0,12.196453968253968,0.0,29.27148952380952,32.93042571428571,2.6666666666666665,0.0,6.4,7.199999999999999,3
Cider,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cider,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Cinnamon bark,0,0.55766,0.0,0.2960000000000001,4.484999999999985,0.68,0.0,1.0,1.7999999999999972,25
Cinnamon bark,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cinnamon bark and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Citrons,0,0.026916666666666665,0.012,0.06576666666666668,0.07471666666666665,1.0,0.5,2.4000000000000004,2.6999999999999993,4
Citrons,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Citrus fruit peel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Citrus fruits,0,0.12982100455204967,0.0,0.12200000000000008,0.24079999999999985,0.6521739130434783,0.0,2.0,2.0,23
Clementines,0,3.6406413179519594,0.29527499999999995,0.9023214285714285,1.118338492063492,7.477876106194691,3.0,6.0,7.75,226
Clementines,1,0.05877634099616858,0.0,0.14586666666666662,0.2552666666666665,0.5517241379310345,0.0,2.0,2.599999999999998,29
Clotted cream,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Cloves buds,0,1.73,1.73,1.8659999999999999,1.883,2.0,2.0,2.8,2.9,2
Cloves buds,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cloves buds and similar-,0,0.135,0.1325,0.1445,0.146,1.0,1.0,1.0,1.0,3
Cocoa beans (fermented or dried),0,0.24705882352941178,0.0,0.9719999999999994,1.4679999999999989,0.35294117647058826,0.0,1.0,1.3499999999999979,34
Cocoa beans (fermented or dried),1,0.6298571428571428,0.0,0.40900000000000025,3.1495999999999973,0.21428571428571427,0.0,1.0,1.0,14
Cocoa beans and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cocoa beans and similar-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cocoa ingredients (RPC derivatives),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cocoa mass,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cocoa powder,0,10.552401960784314,0.8140000000000001,59.19046666666661,83.20866666666667,31.970588235294116,1.0,186.0999999999998,265.0,34
Cocoa powder,1,0.7594615384615385,0.746,0.888,1.1511999999999991,1.0,1.0,1.0,1.3999999999999986,13
Coconut milk (cocos nucifera) liquid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Coconut oil/fat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
Coconut water,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Coconuts,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Coconuts,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Coconuts and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Coffee beans and similar-,0,1.9,0.0,1.8999999999999932,10.44999999999998,0.1,0.0,0.09999999999999964,0.5499999999999989,10
"Coffee beans, green",0,0.2683333333333333,0.0,0.2,1.3,0.38095238095238093,0.0,1.0,1.0,21
"Coffee beans, green",1,0.05217391304347826,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,23
"Coffee beans, roasted",0,0.07075000000000001,0.0,0.2862000000000001,0.4437,0.46875,0.0,1.9000000000000021,3.0,32
